0,tempC,tempC_Rmean=2,tempC_Rmean=3,tempC_Rmean=4,tempC_Rmean=8,tempC_Rmean=12,tempC_Rmean=24,tempC_Rmean=32,tempC_Rmean=48,tempC_Rmean=96,Expanding Mean 2 tempC,Expanding Mean 3 tempC,Expanding Mean 4 tempC,Expanding Mean 8 tempC,Expanding Mean 12 tempC,Expanding Mean 16 tempC,Expanding Mean 24 tempC,Expanding Mean 48 tempC,Expanding Mean 96 tempC
Expanding Mean 12 statusS,-0.0950553487637996,-0.09815743887139844,-0.1001650394497215,-0.10174180101447004,-0.09940608706354373,-0.08759983619901424,-0.02039717561851932,0.0229021323247628,0.025903476160713697,0.009108029788971914,-0.09521673489498736,-0.09619309121229204,-0.0956450268779865,-0.09758211387686948,-0.10011156575796147,-0.09597158203449843,-0.1050376048599976,-0.09716103771666236,-0.09896057657270198
Expanding Mean 16 statusS,-0.08594428275891572,-0.08962024518913357,-0.09166132121847413,-0.09385977723967044,-0.09528676074110254,-0.08754426849937852,-0.02801400768316608,0.012733088109437006,0.01918165038496767,0.0023965679576693397,-0.0861706445753496,-0.08714465250076289,-0.08677024534674263,-0.0888957955150595,-0.09096242724408543,-0.0894107227594968,-0.09660298869268844,-0.09346648869948868,-0.0955893126637286
Expanding Mean 24 statusS,-0.081480958371809,-0.08465206377799764,-0.08643432562832604,-0.08847264928554613,-0.08869719088033763,-0.08137985062710089,-0.026221915577046128,0.011674459763370872,0.015838493463284514,0.009746595177373514,-0.08167106861424886,-0.0825556975559817,-0.08222321983130082,-0.08448322328346346,-0.08672790168418297,-0.08326431473034572,-0.09354018820025536,-0.08736330098719615,-0.0884888169390763
Expanding Mean 48 statusS,-0.10411132637489458,-0.1072601864418616,-0.10851321969042828,-0.11034440221566452,-0.1076576501229585,-0.09633780829881294,-0.04202521538123311,-0.009882309026092674,-0.005163974224590087,-0.005461646734818445,-0.10428631115674684,-0.10514384928426633,-0.10459243309371932,-0.10630417105390466,-0.10810026188318912,-0.10732412295388964,-0.11284857458635054,-0.1042381275123858,-0.11530871255229225
Expanding Mean 96 statusS,-0.11189670141703204,-0.11827487181072678,-0.12193904127822425,-0.12711255483143907,-0.13470055908479872,-0.12922405653456331,-0.05317951022421282,0.01059735669297101,0.02549410391761168,-0.029321817036097837,-0.11230479063264197,-0.1141401223921398,-0.11339300130259355,-0.11757049211626515,-0.122023193941507,-0.1235086927635325,-0.13111365036760889,-0.1377074525075577,-0.14108735491108282
Expanding Mean 2 tempC,0.999915445596612,0.9944588385514576,0.980088028740623,0.9593204060019098,0.8084683437054484,0.5747448868953309,-0.22623685553209066,-0.4623645538521024,0.16113417708023345,0.31822984982190994,1.0,0.9987609744297716,0.9990837225180648,0.9915208854879248,0.98003707059063,0.9686770602716578,0.9320377395372786,0.7210058319875238,0.6708488195907603
Expanding Mean 3 tempC,0.9986308241323166,0.9963944339755346,0.984308842085781,0.9655893078629096,0.8212922282558769,0.5919879673294224,-0.2112245523467392,-0.4591173005546909,0.1464229181986883,0.3195190594815828,0.9987609744297716,1.0,0.9983281522196752,0.9927295091673406,0.9840341331331712,0.972776793196482,0.9388647109141548,0.7348282129411858,0.684369775587459
Expanding Mean 4 tempC,0.9987027328782478,0.9956942301315116,0.9838031004192046,0.9650017394459952,0.8206220125347241,0.5913866127236607,-0.21308065266569212,-0.4611110147474573,0.1455752591382062,0.31782298079379234,0.9990837225180648,0.9983281522196752,1.0,0.9936762854562315,0.983748837307837,0.9734456997419882,0.9379803713512292,0.7338228938702729,0.6829377459434679
Expanding Mean 8 tempC,0.9906760454099603,0.9947778631326584,0.9909814095750988,0.9790059882796278,0.85686878005946,0.6428559548991647,-0.1631624928177553,-0.4456824624065909,0.10215422593852233,0.32245749549620323,0.9915208854879248,0.9927295091673406,0.9936762854562315,1.0,0.9883242061128956,0.98668799295925,0.956788978130742,0.7748765894737321,0.7238242432984641
Expanding Mean 12 tempC,0.9787029978867532,0.9891117038851001,0.9914126517418356,0.9855366761433128,0.8846163604019741,0.6845232980773879,-0.12115244080265927,-0.4330526435395813,0.061571999778229136,0.3234054715520621,0.98003707059063,0.9840341331331712,0.983748837307837,0.9883242061128956,1.0,0.9820275034833698,0.9692045814092712,0.8063009531020667,0.7545904731409623
Expanding Mean 16 tempC,0.9670158967804696,0.9813218366196867,0.987014187075204,0.9850629938380272,0.8992006744625333,0.7139615354260955,-0.07874234782752229,-0.4072368639782986,0.043574452742056936,0.3335962955418678,0.9686770602716578,0.972776793196482,0.9734456997419882,0.98668799295925,0.9820275034833698,1.0,0.969147349487534,0.8334452429442384,0.7828836936669308
Expanding Mean 24 tempC,0.9299410586520028,0.952256511214939,0.9674290991784,0.9751172437060188,0.9343203152059528,0.7885759272704241,0.017776518929869874,-0.3637153117236537,-0.035613952728966045,0.3354188046959277,0.9320377395372786,0.9388647109141548,0.9379803713512292,0.956788978130742,0.9692045814092712,0.969147349487534,1.0,0.9031806023998878,0.8501127871353281
Expanding Mean 48 tempC,0.7168364710363003,0.7660348631740419,0.8101327260268808,0.8481426189453524,0.9401351020661654,0.9229089772104314,0.3130796814113974,-0.17899008792081422,-0.2525005004204703,0.3210448423816698,0.7210058319875238,0.7348282129411858,0.7338228938702729,0.7748765894737321,0.8063009531020667,0.8334452429442384,0.9031806023998878,1.0,0.9509960529014078
Expanding Mean 96 tempC,0.6667777002441986,0.7155185677440394,0.758736357787667,0.7985425176901767,0.9022985566214864,0.9113921962004636,0.4513017149881756,0.009582603457109429,-0.16744942148511568,0.4287020501723977,0.6708488195907603,0.684369775587459,0.6829377459434679,0.7238242432984641,0.7545904731409623,0.7828836936669308,0.8501127871353281,0.9509960529014078,1.0
