0,statusN_Rmean=12,statusS_Rmean=12,tempC_Rmean=12,windspeedMiles_Rmean=12,precipMM_Rmean=12,humidity_Rmean=12,visibility_Rmean=12,pressure_Rmean=12,cloudcover_Rmean=12,heatIndexC_Rmean=12,dewPointC_Rmean=12,windChillC_Rmean=12,windGustMiles_Rmean=12,feelsLikeC_Rmean=12,Expanding Mean 12 statusN,Expanding Mean 12 statusS,Expanding Mean 12 tempC,Expanding Mean 12 windspeedMiles,Expanding Mean 12 precipMM,Expanding Mean 12 humidity,Expanding Mean 12 visibility,Expanding Mean 12 pressure,Expanding Mean 12 cloudcover,Expanding Mean 12 heatIndexC,Expanding Mean 12 dewPointC,Expanding Mean 12 windChillC
heatIndexC_Rmean=3,-0.1090367527788116,-0.04437746821876798,0.6386331626249664,-0.29202328807353456,-0.28762173790152545,-0.6047087842032934,0.2601922482831847,0.040766804939463865,-0.2587249280493673,0.6797795042245798,0.3410389533203208,0.6385718890078149,-0.42971183732156143,0.6797795042245798,-0.3611132549802653,-0.10039975109321013,0.9698279023004814,0.05403459310673543,0.04003763104860303,-0.8494735023807483,-0.003301304768022728,-0.05178030694693487,-0.1505583912987382,0.992837711518562,0.4926933771101877,0.9698866210917382
dewPointC_Rmean=3,-0.05952436392547065,-0.019158613640161727,0.1510898175131719,-0.13057257296839436,0.21492702682280915,0.0547276566417972,-0.2489812529439045,-0.1929290277275628,0.07988152232584353,0.2811338724341783,0.6962410081868782,0.1513557236861919,-0.16289201159515182,0.2811338724341783,-0.2261298065403365,-0.0630827223545896,0.34626996936208504,-0.02278715796539978,0.3474520156017935,-0.056857115143577434,-0.30268805431644424,-0.2101430917827287,0.10484449351423022,0.4956653519333401,0.9781959955854982,0.3466595569099825
windChillC_Rmean=3,-0.13199829546435846,-0.047001356256198834,0.6964037851661931,-0.2752251571358358,-0.35131214986839504,-0.6938040220877042,0.3219997925608349,0.08900138024679045,-0.3123067897939621,0.7088845880941624,0.23967070848839603,0.6963020924340586,-0.4203049497347002,0.7088845880941624,-0.3630345588805008,-0.0999952954785941,0.9913245835208921,0.06318090071156883,-0.0266805249069652,-0.9066190933085481,0.05919338716736475,0.008638220501375695,-0.20941479554771225,0.9671491901880616,0.3494937930526715,0.991386172124322
windGustMiles_Rmean=3,-0.13303528539433773,0.02676116392339891,0.15228310042030588,0.8557275263535998,0.4246927216738423,-0.09712805895109253,-0.27950181702251364,-0.4802429880566077,0.4351325925057119,0.17394239259122873,0.07942039424922807,0.15299032473970528,0.8086680858644647,0.17394239259122873,-0.07917977123523036,0.022646215765741304,-0.09641183417960493,0.9569240994270584,0.4888692119919467,0.1341042524844947,-0.41369585023356986,-0.4585061726369925,0.40973050159883617,-0.10572120307527792,-0.06468924741841894,-0.09546275271605036
feelsLikeC_Rmean=3,-0.1090367527788116,-0.04437746821876798,0.6386331626249664,-0.29202328807353456,-0.28762173790152545,-0.6047087842032934,0.2601922482831847,0.040766804939463865,-0.2587249280493673,0.6797795042245798,0.3410389533203208,0.6385718890078149,-0.42971183732156143,0.6797795042245798,-0.3611132549802653,-0.10039975109321013,0.9698279023004814,0.05403459310673543,0.04003763104860303,-0.8494735023807483,-0.003301304768022728,-0.05178030694693487,-0.1505583912987382,0.992837711518562,0.4926933771101877,0.9698866210917382
tempC_Rmean=4,-0.1719919258014241,-0.05559302581881132,0.7554666304035919,-0.2362366188369649,-0.3201532628940112,-0.7410587996967543,0.3009660645756991,0.07696441250314312,-0.3019349728882679,0.7652992414398445,0.2655500450941045,0.7553724273242136,-0.3857696354005189,0.7652992414398445,-0.3669692013447337,-0.10174180101447004,0.9855366761433128,0.08998793943246136,0.005296063444566596,-0.8979162282784185,0.032751321379482286,0.002302016758692197,-0.1987787163961133,0.9569810722593188,0.3399584598849901,0.9854761461612368
windspeedMiles_Rmean=4,-0.13558474606043508,0.014688390738658769,0.20053590555306108,0.8495796571215135,0.32536866000758585,-0.1609052493423146,-0.18061124407640264,-0.4953037527410302,0.3680104486513685,0.2152037094887594,0.06046398205619322,0.2012357502597212,0.7724001485072696,0.2152037094887594,-0.11918539477158507,0.004118201229502749,0.025211616425694885,0.9871029005080396,0.41734887736429854,0.008164705768180855,-0.3428365209713365,-0.4843242915632722,0.3489751234653733,0.010401896870677984,-0.043356754535567935,0.02620404452942248
precipMM_Rmean=4,-0.11385053843265673,0.01926495646111649,0.16449287620442152,0.3926355607233062,0.8305368895984809,0.018748297011892984,-0.6384675623293617,-0.4577000711077228,0.5715007013316316,0.23960599522077905,0.442913784497514,0.16516147038252169,0.4148665082339942,0.23960599522077905,-0.028070417712385224,0.013561952378768356,-0.07681932745700433,0.4060358344849645,0.9753370536669368,0.2582246883459836,-0.8150757986589855,-0.4414621608080577,0.5764974278904096,-0.015200753899303622,0.3229270657724115,-0.07609469302825432
humidity_Rmean=4,0.1315841067614517,0.04694326651395381,-0.6776990689652798,0.25968110736524475,0.4793352342447839,0.7966592639453866,-0.4511267994451225,-0.1803354954549168,0.3639609608465785,-0.6399116398129323,0.010297472157400045,-0.6773325272046163,0.40241880992140794,-0.6399116398129323,0.3113489641692992,0.08172635382128794,-0.9106315526517864,-0.05353390549426909,0.1746396504353205,0.9897096310311808,-0.19278892277519047,-0.09926582891557026,0.2625848089045623,-0.8436737154325761,-0.055839715755035414,-0.9104148859252036
visibility_Rmean=4,0.14193020523195954,-0.06656395663698374,-0.008336508151173318,-0.2944292950108145,-0.6136020854199912,-0.11857071839839473,0.7061902639076669,0.19306097433647515,-0.4064697929778551,-0.08778239175241573,-0.34616548465917873,-0.008853792340741578,-0.3163037302174642,-0.08778239175241573,0.09569746808382136,-0.047135766295486624,0.18286956480819205,-0.2954946857134615,-0.6721224587535608,-0.31495962433095176,0.8410034546111902,0.18546080612308846,-0.4092713326232363,0.11386290671926386,-0.2682697602729736,0.18215632066914286
